id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
186,Princess Queen,TV Series,Comedy,None,1999,70,TV-G,English,USA,6.3,11115414,64610932.91,9,151,FALSE,2024-03-08,TRUE
187,Night Queen,Documentary,Crime,None,2012,102,TV-Y,English,South Korea,8.2,11115414,64610932.91,0,0,FALSE,2024-02-07,FALSE
188,Last Mission,Movie,Comedy,None,1998,111,TV-PG,English,USA,9.3,6199801,15193445,0,0,FALSE,2022-09-12,FALSE
189,Night Secret,Movie,Documentary,None,1993,85,TV-MA,Japanese,USA,5.8,593000,99504513,0,0,FALSE,2020-10-10,FALSE
190,Dream Dream,Documentary,Fantasy,None,2010,94,TV-MA,English,USA,6.0,11115414,64610932.91,0,0,TRUE,2020-11-19,TRUE
191,Hero Secret,Stand-up Comedy,Adventure,None,2006,36,G,English,USA,5.5,11115414,64610932.91,0,0,FALSE,2022-07-12,FALSE
192,An War,Movie,Comedy,Horror,2021,127,PG,Korean,Canada,6.1,52114579,24037884,0,0,FALSE,2020-09-10,FALSE
193,Fire Queen,Movie,Animation,None,2002,53,TV-MA,English,India,4.3,5819919,20052531,0,0,TRUE,2023-01-24,FALSE
194,A Family,Movie,Western,None,2016,153,PG,German,USA,5.9,7058434,11893984,0,0,FALSE,2022-12-03,FALSE
195,Quest House,Limited Series,Music,None,1996,18,NC-17,Korean,Canada,6.4,11115414,64610932.91,6,151,FALSE,2022-06-15,FALSE
196,Queen Quest,Movie,Mystery,None,2014,69,TV-Y,Korean,Japan,4.3,5542251,1949871,0,0,FALSE,2022-10-21,FALSE
197,Battle Family,Documentary,History,Biography,1998,78,TV-MA,French,South Korea,7.3,11115414,64610932.91,0,0,TRUE,2021-10-04,FALSE
198,A Adventure,TV Series,Sport,None,2007,48,TV-PG,Hindi,USA,4.9,11115414,64610932.91,6,141,TRUE,2023-01-02,FALSE
199,Love Story,TV Series,Music,None,1992,23,TV-Y7,English,India,8.3,11115414,64610932.91,3,53,FALSE,2020-08-30,FALSE
200,Secret Night,TV Series,Drama,None,2002,10,NC-17,English,USA,4.6,11115414,64610932.91,14,79,FALSE,2024-10-15,FALSE
201,Quest Mystery,Movie,Adventure,None,2012,142,R,English,USA,5.6,573288,64610932.91,0,0,FALSE,2022-05-27,TRUE
202,Hero Ice,Stand-up Comedy,Horror,Adventure,1961,47,TV-14,Spanish,France,6.1,11115414,64610932.91,0,0,FALSE,2020-11-30,FALSE
203,Big Adventure,Documentary,Action,Family,2008,87,TV-PG,English,Canada,6.3,11115414,64610932.91,0,0,TRUE,2023-01-19,FALSE
204,Dragon War,Movie,Action,None,1998,100,TV-14,English,UK,5.3,1055495,1732903,0,0,FALSE,2023-04-24,TRUE
205,Fire Phoenix,TV Series,Drama,Adventure,2021,73,R,Japanese,USA,6.5,11115414,64610932.91,2,109,FALSE,2020-11-18,FALSE
206,Day Adventure,TV Series,Romance,None,2003,50,PG-13,English,Canada,6.0,11115414,64610932.91,9,97,FALSE,2023-04-13,FALSE
206,Mystery Battle,TV Series,Romance,None,2003,50,PG-13,English,Canada,6.0,11115414,64610932.91,9,97,FALSE,2023-04-13,FALSE
207,Dark Ice,TV Series,Sport,Mystery,1992,34,R,English,USA,7.5,11115414,64610932.91,8,15,TRUE,2020-08-02,TRUE
208,Family Day,Movie,Thriller,None,1993,109,R,Spanish,USA,7.4,5539041,64610932.91,0,0,TRUE,2021-04-28,FALSE
209,Princess War,TV Series,History,None,2023,44,TV-G,English,USA,6.2,11115414,64610932.91,9,89,TRUE,2022-06-16,TRUE
210,Princess Quest,Movie,Sport,None,2018,83,TV-14,German,Canada,2.7,2206961,64610932.91,0,0,FALSE,2022-02-15,FALSE
210,Family Mystery,Movie,Sport,None,2018,83,TV-14,German,Canada,2.7,2206961,64610932.91,0,0,FALSE,2022-02-15,FALSE
211,Adventure Princess,TV Series,Romance,None,1998,39,PG-13,Italian,USA,6.1,11115414,64610932.91,2,97,FALSE,2022-04-12,FALSE
212,Battle Fire,Stand-up Comedy,War,None,2011,33,TV-Y,Hindi,UK,8.0,11115414,64610932.91,0,0,FALSE,2022-12-08,FALSE
213,House Empire,TV Series,Fantasy,None,2015,44,PG,English,Canada,7.9,11115414,64610932.91,10,115,TRUE,2025-03-15,FALSE
214,Love Legend,Stand-up Comedy,Animation,Comedy,1966,47,TV-Y7,English,USA,4.3,11115414,64610932.91,0,0,FALSE,2024-11-12,FALSE
215,Love War,Movie,Western,None,2008,135,NC-17,English,USA,6.8,10268769,1769234,0,0,FALSE,2024-02-24,FALSE
216,Hero Story,Documentary,Action,None,1993,85,G,Spanish,South Korea,8.5,11115414,64610932.91,0,0,FALSE,2024-03-02,FALSE
217,First Kingdom,Movie,Drama,None,2008,93,TV-G,English,UK,6.9,1331293,136118745,0,0,FALSE,2024-10-25,FALSE
218,Our City,Movie,Action,Documentary,1995,93,NC-17,English,India,6.2,8955476,5873907,0,0,FALSE,2020-12-19,FALSE
219,Princess Love,Movie,Comedy,None,2021,102,NC-17,English,Canada,7.1,1852812,323259,0,0,TRUE,2025-03-09,FALSE
220,War Queen,TV Series,Comedy,History,2009,47,TV-MA,French,Germany,8.1,11115414,64610932.91,9,40,FALSE,2022-02-21,FALSE
221,Our Adventure,Documentary,Crime,None,2016,46,TV-PG,English,USA,8.7,11115414,64610932.91,0,0,FALSE,2021-06-25,FALSE
222,Secret House,TV Series,Western,Drama,1994,329,TV-MA,Japanese,USA,6.3,11115414,64610932.91,11,153,FALSE,2020-10-30,FALSE
223,New Story,TV Series,History,None,2006,50,TV-G,Hindi,USA,6.3,11115414,64610932.91,7,156,FALSE,2020-10-22,FALSE
224,Adventure Hero,TV Series,Drama,None,1994,62,R,German,USA,6.3,11115414,64610932.91,2,43,FALSE,2021-05-12,FALSE
225,Big Princess,Movie,Adventure,Drama,1994,119,PG-13,Spanish,India,7.4,13813223,64610932.91,0,0,TRUE,2023-05-16,FALSE
226,Queen Hero,Stand-up Comedy,Western,None,1998,67,TV-MA,English,USA,5.7,11115414,64610932.91,0,0,FALSE,2022-03-23,FALSE
227,Battle Ice,Stand-up Comedy,Family,None,2012,59,G,English,USA,6.8,11115414,64610932.91,0,0,FALSE,2023-08-14,FALSE
228,Day Legend,Movie,Family,None,2015,144,TV-G,Korean,UK,6.4,951503,8854233,0,0,FALSE,2023-06-04,TRUE
229,Kingdom House,Movie,Drama,None,2003,115,PG-13,English,India,6.1,2856217,7370946,0,0,FALSE,2024-03-04,FALSE
230,Mystery Night,Movie,Biography,None,2005,491,TV-14,Spanish,USA,7.2,7047373,7555541,0,0,FALSE,2021-06-04,FALSE
231,First Quest,Limited Series,Mystery,None,2020,36,TV-Y,German,South Korea,7.5,11115414,64610932.91,10,88,FALSE,2025-06-19,FALSE
232,Dragon Princess,TV Series,Sci-Fi,None,2023,38,R,English,USA,5.5,11115414,64610932.91,14,42,FALSE,2023-12-01,FALSE
233,Bright War,Movie,History,War,2020,131,PG,English,USA,7.1,11115414,5648567,0,0,FALSE,2021-07-31,FALSE
234,Legend King,TV Series,Horror,Music,1991,58,TV-Y7,Japanese,South Korea,8.5,11115414,64610932.91,7,178,FALSE,2021-01-11,FALSE
235,Night Warrior,Limited Series,Crime,Action,2011,45,G,English,USA,3.7,11115414,64610932.91,10,18,FALSE,2022-03-06,FALSE
236,Ice Fire,Stand-up Comedy,Action,Animation,2006,81,TV-14,English,Canada,6.3,11115414,64610932.91,0,0,FALSE,2024-08-22,FALSE
237,Legend Empire,TV Series,Animation,None,2002,24,PG-13,English,Japan,6.3,11115414,64610932.91,8,82,FALSE,2020-09-30,FALSE
238,House House,TV Series,Adventure,None,2011,46,PG-13,Korean,USA,8.7,11115414,64610932.91,4,133,FALSE,2022-02-03,FALSE
239,Empire Dragon,Documentary,Sci-Fi,Drama,2015,79,G,Italian,USA,5.7,11115414,64610932.91,0,0,FALSE,2022-10-17,FALSE
240,City Dream,Movie,Drama,None,2022,152,NC-17,French,USA,6.3,11115414,38401267,0,0,FALSE,2024-12-02,FALSE
241,Dream City,TV Series,War,None,2003,13,TV-14,Japanese,USA,4.9,11115414,64610932.91,10,90,FALSE,2022-06-22,FALSE
242,House King,Documentary,Sci-Fi,None,2022,56,TV-14,English,USA,6.9,11115414,64610932.91,0,0,TRUE,2021-06-16,FALSE
243,House Family,Movie,Comedy,None,1997,147,TV-MA,Italian,USA,6.9,1340534,7497976,0,0,TRUE,2022-12-11,FALSE
244,Dark Dragon,Movie,History,None,2005,563,TV-G,English,USA,5.0,2185872,141933150,0,0,FALSE,2020-12-25,FALSE
245,Our Princess,Movie,Mystery,Comedy,2010,81,TV-Y7,German,USA,5.5,11115414,64610932.91,0,0,FALSE,2024-05-28,FALSE
246,Dark Dragon,Documentary,Documentary,None,2001,71,NC-17,English,UK,1.2,11115414,64610932.91,0,0,FALSE,2022-10-12,FALSE
247,City Dream,Documentary,Documentary,None,2014,84,TV-PG,English,France,6.4,11115414,64610932.91,0,0,FALSE,2022-07-16,TRUE
248,Kingdom Kingdom,TV Series,Mystery,None,2002,17,TV-PG,Spanish,Japan,7.0,11115414,64610932.91,3,39,FALSE,2024-02-13,FALSE
249,Story Mystery,Documentary,War,Action,2009,67,TV-14,Hindi,USA,6.5,11115414,64610932.91,0,0,FALSE,2025-07-14,FALSE
250,Mission Adventure,Limited Series,Sci-Fi,Mystery,2002,21,G,English,USA,2.6,11115414,64610932.91,5,170,FALSE,2024-07-24,TRUE
251,Phoenix Day,Limited Series,Comedy,None,2013,0,TV-G,English,South Korea,6.3,11115414,64610932.91,2,24,FALSE,2021-01-16,FALSE
252,A Adventure,Movie,Romance,None,1995,140,TV-14,Spanish,USA,6.2,135680978,164970469,0,0,FALSE,2020-10-12,FALSE
253,King Dragon,Documentary,Fantasy,None,2013,99,TV-G,Spanish,USA,6.3,11115414,64610932.91,0,0,TRUE,2020-11-04,TRUE
254,Empire Secret,TV Series,Drama,None,2024,38,TV-14,English,Japan,7.1,11115414,64610932.91,3,84,FALSE,2021-09-19,FALSE
255,Quest Mission,Movie,Animation,Sport,2024,127,R,Hindi,USA,3.4,247987,11671074,0,0,FALSE,2023-02-21,TRUE
256,War Journey,Stand-up Comedy,Thriller,None,2007,71,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2025-03-07,TRUE
257,Adventure Princess,Movie,History,None,2001,109,PG-13,English,Japan,6.6,3393573,40319055,0,0,TRUE,2022-07-25,FALSE
258,Hero Kingdom,Movie,Music,None,2009,161,TV-PG,English,USA,8.8,1206373,64610932.91,0,0,FALSE,2021-10-29,FALSE
259,Mystery Mystery,Movie,Crime,None,2004,114,TV-Y7,English,Canada,6.9,702469,25878525,0,0,TRUE,2022-02-03,FALSE
260,The Mystery,Stand-up Comedy,Action,None,2018,55,PG-13,French,USA,4.7,11115414,64610932.91,0,0,FALSE,2023-04-29,FALSE
261,Story Warrior,Movie,Biography,Crime,2013,88,G,Italian,USA,9.1,169741881,64610932.91,0,0,FALSE,2025-04-11,TRUE
262,Story Kingdom,Movie,Sport,None,2020,127,TV-G,English,USA,4.8,11115414,5863373,0,0,FALSE,2023-02-02,FALSE
263,Story Phoenix,Movie,Music,Western,1994,93,TV-MA,Hindi,South Korea,6.3,3501146,1126300,0,0,TRUE,2023-06-25,FALSE
264,First House,Movie,Biography,Drama,2013,121,PG,English,South Korea,8.4,8714072,35270961,0,0,FALSE,2022-09-26,FALSE
265,Secret City,Movie,Western,None,1994,98,G,English,USA,4.5,21557530,6020161,0,0,FALSE,2020-10-07,FALSE
266,King Phoenix,TV Series,Romance,Family,2005,59,TV-MA,English,Germany,4.1,11115414,64610932.91,12,136,FALSE,2025-05-31,FALSE
267,Family Kingdom,Stand-up Comedy,Animation,None,2024,51,PG,Japanese,South Korea,8.3,11115414,64610932.91,0,0,FALSE,2021-03-22,FALSE
268,Secret Mission,Movie,Comedy,None,2022,120,G,English,Japan,6.7,11481343,727483,0,0,FALSE,2025-01-20,FALSE
269,Night Love,Documentary,Drama,None,2012,74,PG-13,Italian,UK,9.8,11115414,64610932.91,0,0,FALSE,2024-10-25,FALSE
270,City Empire,Movie,Romance,None,2020,152,TV-G,English,UK,0.9,389524,492518,0,0,FALSE,2022-11-01,TRUE
271,Secret Family,TV Series,Music,War,2013,66,PG-13,French,Japan,7.3,11115414,64610932.91,1,78,TRUE,2020-12-04,TRUE
272,Dragon King,Movie,Family,None,2024,127,TV-Y,English,South Korea,6.9,4158763,214080071,0,0,FALSE,2021-12-20,TRUE
273,Queen Warrior,Stand-up Comedy,Adventure,None,2003,54,TV-Y7,Italian,UK,6.1,11115414,64610932.91,0,0,FALSE,2024-09-09,FALSE
274,Dark Love,Stand-up Comedy,Horror,None,1996,51,NC-17,Korean,USA,6.8,11115414,64610932.91,0,0,TRUE,2024-11-11,FALSE
274,Our Princess,Stand-up Comedy,Horror,None,1996,51,NC-17,Korean,USA,6.8,11115414,64610932.91,0,0,TRUE,2024-11-11,FALSE
275,King Warrior,Stand-up Comedy,Drama,None,2007,67,TV-MA,English,USA,6.6,11115414,64610932.91,0,0,FALSE,2025-05-09,FALSE
276,Day Mystery,TV Series,Family,None,1991,24,TV-Y,English,India,1.7,11115414,64610932.91,7,106,FALSE,2022-02-23,FALSE
277,Secret Mystery,TV Series,Adventure,None,1991,25,PG,English,USA,4.9,11115414,64610932.91,12,183,TRUE,2025-04-04,FALSE
278,Queen Empire,TV Series,Documentary,None,2023,63,TV-MA,Hindi,USA,6.6,11115414,64610932.91,9,50,FALSE,2024-06-09,FALSE
279,Mission Storm,TV Series,War,Sport,2011,53,TV-Y,English,USA,6.6,11115414,64610932.91,13,77,FALSE,2022-06-21,TRUE
280,Journey Journey,Movie,Mystery,None,1995,100,TV-14,Italian,USA,6.7,4869656,523538611,0,0,FALSE,2020-09-23,FALSE
281,Secret Night,Movie,Crime,None,2017,115,PG,English,USA,6.5,11115414,394055,0,0,FALSE,2022-07-21,FALSE
282,Hero Dragon,Movie,Comedy,Drama,1997,90,TV-Y,English,USA,4.2,2199222,32143697,0,0,FALSE,2024-03-05,TRUE
283,Kingdom Dream,Movie,History,None,2009,118,TV-Y7,Spanish,UK,6.1,1107126,64610932.91,0,0,TRUE,2024-04-22,TRUE
284,The Phoenix,Movie,Romance,Western,1990,112,TV-14,English,USA,6.8,3329576,45321,0,0,TRUE,2021-05-15,FALSE
285,Legend Ice,Documentary,Horror,None,2024,85,PG,English,South Korea,6.3,11115414,64610932.91,0,0,FALSE,2023-10-13,FALSE
286,Fire Journey,Stand-up Comedy,Thriller,None,1995,63,TV-Y7,Spanish,Germany,7.3,11115414,64610932.91,0,0,FALSE,2022-10-03,TRUE
287,Dark Love,TV Series,Animation,None,1995,76,TV-Y7,Japanese,USA,2.7,11115414,64610932.91,7,199,FALSE,2021-12-24,FALSE
288,Dream Hero,Stand-up Comedy,Music,Sci-Fi,2005,66,PG,German,USA,5.8,11115414,64610932.91,0,0,TRUE,2021-02-24,FALSE
289,Big Day,TV Series,Action,Adventure,2007,57,NC-17,English,Canada,8.2,11115414,64610932.91,12,75,FALSE,2021-05-14,TRUE
290,Last Story,Documentary,Animation,War,1992,84,TV-MA,English,Germany,5.9,11115414,64610932.91,0,0,FALSE,2023-03-16,FALSE
291,Little Mission,Stand-up Comedy,Romance,None,2002,58,TV-G,English,USA,7.6,11115414,64610932.91,0,0,FALSE,2024-11-06,FALSE
292,Little War,Movie,Adventure,None,2000,67,G,English,France,8.4,11115414,35807632,0,0,FALSE,2023-05-17,FALSE
293,A Empire,Movie,Adventure,None,2009,85,NC-17,English,Canada,7.0,6918517,13786456,0,0,FALSE,2025-01-30,FALSE
294,Dark Kingdom,Movie,Horror,Western,1999,118,TV-MA,English,Canada,8.5,3103842,1012901,0,0,FALSE,2025-05-01,FALSE
295,Last King,TV Series,Fantasy,History,2011,50,G,English,USA,5.2,11115414,64610932.91,2,27,FALSE,2020-11-06,FALSE
296,Princess Battle,Movie,Documentary,None,2011,102,PG,French,USA,7.5,2650811,64610932.91,0,0,FALSE,2024-11-01,FALSE
297,Dream Love,Documentary,Thriller,None,1995,99,NC-17,English,USA,4.8,11115414,64610932.91,0,0,FALSE,2022-11-02,FALSE
298,A Quest,Movie,Adventure,None,2014,121,PG-13,Korean,USA,6.9,2411775,4770765,0,0,TRUE,2021-02-08,FALSE
299,Little City,TV Series,Biography,None,1986,36,R,French,Japan,7.4,11115414,64610932.91,3,54,TRUE,2022-12-15,TRUE
300,Day City,Movie,Sci-Fi,None,2024,155,NC-17,English,USA,6.9,11115414,64610932.91,0,0,FALSE,2021-02-25,FALSE
301,An Mystery,Movie,Horror,None,1991,108,TV-Y7,Japanese,USA,5.6,902788,27378941,0,0,FALSE,2024-11-20,FALSE
302,Mystery Love,Movie,Drama,None,1997,105,TV-MA,English,USA,6.3,5521994,64610932.91,0,0,FALSE,2021-09-06,FALSE
303,Adventure Princess,Movie,History,Western,1990,132,TV-Y,Japanese,USA,6.3,27892159,12209704,0,0,FALSE,2022-04-28,TRUE
304,Princess Love,Movie,History,Horror,2011,122,NC-17,Hindi,USA,6.3,13039164,51016239,0,0,TRUE,2023-06-05,FALSE
305,Journey Warrior,Movie,Adventure,Fantasy,1984,113,TV-MA,English,Japan,6.3,11115414,53455628,0,0,TRUE,2021-06-14,FALSE
305,Dream War,Movie,Adventure,Fantasy,1984,113,TV-MA,English,Japan,6.3,11115414,53455628,0,0,TRUE,2021-06-14,FALSE
306,First Queen,TV Series,Comedy,None,2009,45,G,English,UK,6.3,11115414,64610932.91,1,83,FALSE,2021-10-02,FALSE
307,Our Hero,Stand-up Comedy,Crime,None,2023,48,TV-Y,Italian,India,10.0,11115414,64610932.91,0,0,FALSE,2024-03-02,FALSE
308,Night Legend,Documentary,Western,None,2010,86,PG-13,Korean,Canada,3.2,11115414,64610932.91,0,0,FALSE,2023-10-30,FALSE
309,Story Legend,Movie,Sci-Fi,None,2006,151,TV-PG,English,USA,7.3,809242,69363028,0,0,FALSE,2023-11-03,TRUE
310,An Empire,Limited Series,Family,War,2003,32,R,English,USA,6.3,11115414,64610932.91,14,86,FALSE,2021-01-24,FALSE
311,Little Phoenix,Stand-up Comedy,Adventure,None,1993,72,TV-MA,English,USA,3.9,11115414,64610932.91,0,0,TRUE,2023-01-16,FALSE
312,Family Adventure,TV Series,Romance,None,2019,64,PG,English,UK,7.4,11115414,64610932.91,7,192,TRUE,2022-11-24,TRUE
313,Day Mission,TV Series,Adventure,War,2004,9,NC-17,English,Canada,0.5,11115414,64610932.91,7,124,FALSE,2023-10-24,FALSE
314,An Quest,Movie,Sci-Fi,None,2023,113,PG,English,India,6.3,4061469,9300295,0,0,FALSE,2024-11-01,FALSE
315,Kingdom Empire,Stand-up Comedy,Mystery,Fantasy,1997,51,R,English,Canada,7.9,11115414,64610932.91,0,0,TRUE,2021-02-05,FALSE
316,Our Mission,Movie,History,None,2018,119,NC-17,Hindi,USA,6.8,11115414,64610932.91,0,0,FALSE,2024-03-25,FALSE
317,Journey Day,Movie,Drama,None,1996,87,TV-Y,French,South Korea,8.6,11115414,544577,0,0,TRUE,2025-03-25,TRUE
318,Phoenix Day,Movie,Crime,None,1994,117,TV-Y,English,USA,5.5,1807059,57074574,0,0,FALSE,2021-05-12,FALSE
319,Ice Phoenix,Movie,Crime,None,1990,121,TV-Y7,Japanese,South Korea,5.3,11115414,5454814,0,0,TRUE,2021-04-06,TRUE
320,Mission Empire,Movie,Documentary,None,1991,101,R,English,USA,5.3,9012419,64610932.91,0,0,FALSE,2021-08-02,FALSE
321,Day Dream,Stand-up Comedy,Comedy,None,2014,534,TV-MA,English,Germany,6.3,11115414,64610932.91,0,0,FALSE,2024-03-24,TRUE
322,War Storm,Movie,Western,None,2015,109,PG,Spanish,USA,6.2,18695365,255722052,0,0,TRUE,2022-07-30,FALSE
323,Hero King,Movie,Adventure,Mystery,2011,145,NC-17,English,Canada,4.4,183679,150842229,0,0,FALSE,2022-11-09,TRUE
324,First Family,Documentary,Fantasy,None,1994,66,PG,English,Canada,6.9,11115414,64610932.91,0,0,FALSE,2021-01-02,TRUE
325,Quest Adventure,Stand-up Comedy,Sport,None,2011,64,TV-14,Hindi,Canada,4.8,11115414,64610932.91,0,0,FALSE,2025-07-31,FALSE
326,Hero Dream,Movie,Family,None,2018,98,TV-MA,English,South Korea,4.8,11115414,64610932.91,0,0,FALSE,2023-02-12,FALSE
327,Little Dream,TV Series,History,Drama,2005,48,G,English,USA,7.4,11115414,64610932.91,2,164,FALSE,2021-10-05,FALSE
328,Night City,Documentary,Horror,Family,2024,46,TV-Y7,Italian,USA,9.3,11115414,64610932.91,0,0,FALSE,2021-04-15,FALSE
329,Mystery Storm,Stand-up Comedy,Documentary,None,2021,49,TV-Y7,English,USA,6.6,11115414,64610932.91,0,0,FALSE,2025-07-25,TRUE
330,Queen Dragon,Documentary,Biography,None,2010,71,PG,English,UK,9.5,11115414,64610932.91,0,0,FALSE,2023-12-06,FALSE
331,An Family,TV Series,Family,None,2018,36,PG,Italian,UK,6.3,11115414,64610932.91,3,138,TRUE,2020-12-01,FALSE
332,Battle Phoenix,Stand-up Comedy,Fantasy,Crime,1997,75,TV-Y7,Spanish,USA,6.5,11115414,64610932.91,0,0,TRUE,2023-07-11,FALSE
333,Warrior Mystery,Movie,Action,None,2019,72,TV-14,Korean,USA,8.0,3004314,64610932.91,0,0,TRUE,2020-11-09,FALSE
334,First Journey,Limited Series,Comedy,None,1998,39,TV-14,Hindi,India,6.2,11115414,64610932.91,13,31,FALSE,2022-10-31,FALSE
335,Dark Secret,TV Series,Crime,None,2016,27,TV-14,Japanese,South Korea,6.3,11115414,64610932.91,7,149,FALSE,2022-12-28,FALSE
336,Our Queen,Movie,Comedy,None,2006,183,G,English,UK,7.8,1807604,71561859,0,0,TRUE,2021-02-09,FALSE
337,Family Kingdom,TV Series,Documentary,None,2014,31,TV-Y7,French,USA,5.9,11115414,64610932.91,7,199,TRUE,2024-08-12,FALSE
338,Adventure King,Movie,Romance,Sci-Fi,2004,106,NC-17,English,Canada,4.7,262233,90979995,0,0,TRUE,2022-01-24,FALSE
339,Family Princess,Movie,Fantasy,Sport,1961,106,PG-13,Spanish,Japan,7.5,945058,64610932.91,0,0,FALSE,2024-10-19,FALSE
340,Princess Day,Movie,Documentary,None,2010,124,TV-Y,English,USA,6.3,1398006,64610932.91,0,0,TRUE,2020-12-14,FALSE
341,A Quest,TV Series,Western,None,2005,64,NC-17,English,USA,6.3,11115414,64610932.91,7,8,FALSE,2024-02-18,TRUE
342,Day Fire,Movie,Biography,None,2001,103,TV-Y7,English,USA,7.4,1502147,123063274,0,0,FALSE,2023-07-03,FALSE
343,Last Phoenix,Movie,Animation,None,2022,119,PG-13,English,USA,6.3,11115414,42547797,0,0,FALSE,2023-01-19,FALSE
344,Quest Night,Movie,Thriller,None,2017,110,PG,English,South Korea,5.1,6458405,2367644,0,0,FALSE,2022-09-26,TRUE
345,Adventure Secret,TV Series,Fantasy,None,2001,64,NC-17,English,USA,7.5,11115414,64610932.91,3,146,FALSE,2023-02-19,FALSE
346,Old King,TV Series,Animation,Sci-Fi,2008,30,TV-PG,English,South Korea,6.6,11115414,64610932.91,2,50,FALSE,2023-01-02,FALSE
347,Mystery War,TV Series,Comedy,Family,1996,51,NC-17,French,USA,4.9,11115414,64610932.91,9,168,TRUE,2021-05-23,FALSE
348,Old House,TV Series,Sport,Family,2024,43,TV-PG,Spanish,USA,6.4,11115414,64610932.91,13,123,TRUE,2025-01-10,FALSE
349,An Princess,Documentary,Romance,None,2018,101,PG,English,USA,7.3,11115414,64610932.91,0,0,FALSE,2023-03-27,TRUE
350,Love Journey,Movie,History,Family,2020,91,G,English,South Korea,8.0,16253067,64610932.91,0,0,FALSE,2021-08-19,TRUE
351,Family Mystery,TV Series,Family,None,2018,28,TV-Y,English,USA,6.3,11115414,64610932.91,2,191,TRUE,2020-09-11,FALSE
352,Fire Secret,Documentary,Thriller,None,2022,54,TV-Y,Japanese,USA,6.1,11115414,64610932.91,0,0,FALSE,2024-03-23,FALSE
353,Princess Warrior,Limited Series,Action,Adventure,2009,437,NC-17,Italian,USA,5.5,11115414,64610932.91,7,19,FALSE,2020-08-21,FALSE
354,Dark Ice,Documentary,Adventure,Thriller,2010,85,G,Spanish,USA,7.0,11115414,64610932.91,0,0,FALSE,2021-01-20,FALSE
355,Big Adventure,Limited Series,Family,Crime,2019,65,R,English,USA,5.9,11115414,64610932.91,4,177,FALSE,2024-07-24,FALSE
356,Kingdom Fire,TV Series,Music,History,1999,43,TV-PG,Korean,USA,7.9,11115414,64610932.91,14,67,FALSE,2023-07-28,FALSE
357,House Fire,Movie,Crime,None,2006,115,TV-Y,English,USA,6.6,1750267,64610932.91,0,0,FALSE,2025-06-22,FALSE
358,Battle Phoenix,TV Series,Drama,None,1992,37,TV-MA,English,Japan,9.0,11115414,64610932.91,4,148,FALSE,2025-04-21,FALSE
359,Phoenix Queen,Movie,Biography,None,1973,103,TV-14,Korean,USA,6.3,22962132,124272260,0,0,FALSE,2025-06-13,TRUE
360,City Queen,TV Series,Comedy,Adventure,1953,52,TV-14,English,USA,4.0,11115414,64610932.91,2,116,FALSE,2022-12-14,TRUE
361,Hero Story,Movie,Drama,None,2022,22,TV-MA,English,USA,6.8,11115414,64610932.91,0,0,TRUE,2022-06-04,FALSE
362,Hero Mystery,Documentary,Drama,None,2021,84,TV-Y,English,UK,7.9,11115414,64610932.91,0,0,TRUE,2023-05-09,FALSE
363,Dark Secret,Movie,Animation,None,1990,150,PG,German,USA,6.3,9373108,1233608,0,0,FALSE,2022-02-11,FALSE
364,Mission Fire,Movie,Thriller,None,2009,95,TV-Y7,English,USA,7.9,19537616,4193030,0,0,TRUE,2020-11-02,FALSE
365,Dream Family,TV Series,Action,Mystery,2011,70,NC-17,English,USA,7.3,11115414,64610932.91,7,170,FALSE,2025-06-30,TRUE
366,Dark Day,Limited Series,Crime,Family,2001,24,TV-14,English,Canada,8.2,11115414,64610932.91,10,185,FALSE,2024-07-19,FALSE
367,City Ice,Movie,Drama,None,1991,92,TV-MA,English,USA,4.7,6921573,64610932.91,0,0,FALSE,2022-11-29,TRUE
368,A Quest,Movie,Western,Fantasy,2018,95,TV-PG,French,Canada,6.1,29387509,64610932.91,0,0,TRUE,2021-05-17,FALSE
369,Warrior House,Documentary,Family,Adventure,2008,58,TV-Y,Hindi,Japan,5.9,11115414,64610932.91,0,0,FALSE,2023-05-08,FALSE
370,Storm Journey,Movie,Music,Thriller,2015,87,PG-13,Spanish,USA,6.3,1373809,64610932.91,0,0,FALSE,2021-09-16,FALSE
371,Mystery War,TV Series,Biography,Drama,2017,46,TV-PG,Hindi,South Korea,6.3,11115414,64610932.91,1,168,TRUE,2025-07-23,FALSE
372,An Mission,Movie,Documentary,None,2022,93,TV-Y7,English,South Korea,9.5,3882573,64610932.91,0,0,FALSE,2023-02-04,FALSE
373,Day Night,TV Series,War,None,2001,51,TV-MA,Spanish,South Korea,5.5,11115414,64610932.91,7,147,FALSE,2021-06-17,FALSE
374,War Story,Movie,Adventure,None,2023,104,TV-14,English,USA,7.5,766474,7301565,0,0,FALSE,2024-03-05,TRUE
375,Quest Family,Movie,Fantasy,Animation,2019,129,TV-Y7,Japanese,Canada,7.3,11990701,64610932.91,0,0,FALSE,2021-03-15,FALSE
376,City Night,Movie,Family,Animation,2021,106,TV-PG,English,USA,7.6,102041972,64610932.91,0,0,FALSE,2023-06-21,FALSE
377,Dragon Hero,Movie,Animation,None,2016,105,NC-17,Japanese,USA,5.6,4268594,3435870,0,0,FALSE,2024-10-10,FALSE
